0.0001, 0.0001, 0.6324
0.0001, 0.0010, 0.6352
0.0001, 0.0100, 0.6352
0.0001, 1.0000, 0.5506
0.0001, 3.0000, 0.5506
0.0001, 100.0000, 0.5506
0.0001, 300.0000, 0.5506
0.0001, 1000.0000, 0.5506
0.0001, 30000.0000, 0.5506
0.0010, 0.0001, 0.6324
0.0010, 0.0010, 0.6352
0.0010, 0.0100, 0.6352
0.0010, 1.0000, 0.5506
0.0010, 3.0000, 0.5506
0.0010, 100.0000, 0.5506
0.0010, 300.0000, 0.5506
0.0010, 1000.0000, 0.5506
0.0010, 30000.0000, 0.5506
0.0100, 0.0001, 0.6324
0.0100, 0.0010, 0.6352
0.0100, 0.0100, 0.6352
0.0100, 1.0000, 0.5506
0.0100, 3.0000, 0.5506
0.0100, 100.0000, 0.5506
0.0100, 300.0000, 0.5506
0.0100, 1000.0000, 0.5506
0.0100, 30000.0000, 0.5506
1.0000, 0.0001, 0.6525
1.0000, 0.0010, 0.6352
1.0000, 0.0100, 0.6352
1.0000, 1.0000, 0.5506
1.0000, 3.0000, 0.5506
1.0000, 100.0000, 0.5506
1.0000, 300.0000, 0.5506
1.0000, 1000.0000, 0.5506
1.0000, 30000.0000, 0.5506
3.0000, 0.0001, 0.6501
3.0000, 0.0010, 0.6352
3.0000, 0.0100, 0.6352
3.0000, 1.0000, 0.5506
3.0000, 3.0000, 0.5506
3.0000, 100.0000, 0.5506
3.0000, 300.0000, 0.5506
3.0000, 1000.0000, 0.5506
3.0000, 30000.0000, 0.5506
100.0000, 0.0001, 0.6501
100.0000, 0.0010, 0.6352
100.0000, 0.0100, 0.6352
100.0000, 1.0000, 0.5506
100.0000, 3.0000, 0.5506
100.0000, 100.0000, 0.5506
100.0000, 300.0000, 0.5506
100.0000, 1000.0000, 0.5506
100.0000, 30000.0000, 0.5506
300.0000, 0.0001, 0.6501
300.0000, 0.0010, 0.6352
300.0000, 0.0100, 0.6352
300.0000, 1.0000, 0.5506
300.0000, 3.0000, 0.5506
300.0000, 100.0000, 0.5506
300.0000, 300.0000, 0.5506
300.0000, 1000.0000, 0.5506
300.0000, 30000.0000, 0.5506
1000.0000, 0.0001, 0.6501
1000.0000, 0.0010, 0.6352
1000.0000, 0.0100, 0.6352
1000.0000, 1.0000, 0.5506
1000.0000, 3.0000, 0.5506
1000.0000, 100.0000, 0.5506
1000.0000, 300.0000, 0.5506
1000.0000, 1000.0000, 0.5506
1000.0000, 30000.0000, 0.5506
30000.0000, 0.0001, 0.6501
30000.0000, 0.0010, 0.6352
30000.0000, 0.0100, 0.6352
30000.0000, 1.0000, 0.5506
30000.0000, 3.0000, 0.5506
30000.0000, 100.0000, 0.5506
30000.0000, 300.0000, 0.5506
30000.0000, 1000.0000, 0.5506
30000.0000, 30000.0000, 0.5506
