Match info: 392204.yaml
['Royal Challengers Bangalore', 'Kings XI Punjab']
S Sohal {'total runs given': 0, 'batsman matches played': 2, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 8, 'total runs': 4, 'bowler balls': 0}
S Sreesanth {'total runs given': 451, 'batsman matches played': 2, 'total wickets': 17, 'bowler matches played': 15, 'total balls': 3, 'total runs': 0, 'bowler balls': 332}
PP Chawla {'total runs given': 426, 'batsman matches played': 8, 'total wickets': 17, 'bowler matches played': 16, 'total balls': 65, 'total runs': 93, 'bowler balls': 311}
K Goel {'total runs given': 25, 'batsman matches played': 7, 'total wickets': 0, 'bowler matches played': 1, 'total balls': 108, 'total runs': 96, 'bowler balls': 12}
YA Abdulla {'total runs given': 37, 'batsman matches played': 0, 'total wickets': 4, 'bowler matches played': 1, 'total balls': 0, 'total runs': 0, 'bowler balls': 25}

Match info: 392229.yaml
['Deccan Chargers', 'Kings XI Punjab']
S Sohal {'total runs given': 0, 'batsman matches played': 3, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 9, 'total runs': 4, 'bowler balls': 0}
SM Katich {'total runs given': 0, 'batsman matches played': 4, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 90, 'total runs': 109, 'bowler balls': 0}
Yuvraj Singh {'total runs given': 116, 'batsman matches played': 16, 'total wickets': 6, 'bowler matches played': 8, 'total balls': 270, 'total runs': 397, 'bowler balls': 87}
KC Sangakkara {'total runs given': 0, 'batsman matches played': 11, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 245, 'total runs': 348, 'bowler balls': 0}
WA Mota {'total runs given': 36, 'batsman matches played': 2, 'total wickets': 1, 'bowler matches played': 2, 'total balls': 28, 'total runs': 26, 'bowler balls': 20}
IK Pathan {'total runs given': 420, 'batsman matches played': 12, 'total wickets': 18, 'bowler matches played': 16, 'total balls': 148, 'total runs': 162, 'bowler balls': 384}
B Lee {'total runs given': 118, 'batsman matches played': 3, 'total wickets': 4, 'bowler matches played': 4, 'total balls': 14, 'total runs': 17, 'bowler balls': 99}
LA Pomersbach {'total runs given': 0, 'batsman matches played': 5, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 101, 'total runs': 152, 'bowler balls': 0}
PP Chawla {'total runs given': 456, 'batsman matches played': 9, 'total wickets': 19, 'bowler matches played': 17, 'total balls': 72, 'total runs': 99, 'bowler balls': 335}
S Sreesanth {'total runs given': 495, 'batsman matches played': 3, 'total wickets': 17, 'bowler matches played': 16, 'total balls': 11, 'total runs': 4, 'bowler balls': 359}
